Discovery:53000 2022-06-20 22:19:19,876 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
Discovery:53000 2022-06-20 22:19:25,709 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
Discovery:53000 2022-06-20 22:19:28,572 INFO [main][GenericScope.java:294] - BeanFactory id=33c68227-122c-36dd-8028-a36de4f592a4
Discovery:53000 2022-06-20 22:19:29,860 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8a154162] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
Discovery:53000 2022-06-20 22:19:33,447 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
Discovery:53000 2022-06-20 22:19:33,563 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
Discovery:53000 2022-06-20 22:19:33,601 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
Discovery:53000 2022-06-20 22:19:33,605 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
Discovery:53000 2022-06-20 22:19:33,639 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [E:\jdk1.8.0_161\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files\VanDyke Software\Clients\;E:\Anaconda;E:\Anaconda\Library\mingw-w64\bin;E:\Anaconda\Library\usr\bin;E:\Anaconda\Library\bin;E:\Anaconda\Scripts;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;E:\mysql-5.7.20-winx64\bin;C:\Program Files\dotnet\;E:\nodejs\;C:\Users\Administrator\AppData\Roaming\npm;E:\nodejs\node_global\;C:\Program Files (x86)\Common Files\Thunder Network\KanKan\Codecs;E:\spark-2.1.1-hadoop2.7\bin;D:\Android\Sdk\platform-tools;E:\TortoiseSVN\bin;E:\TortoiseSVN\bin;E:\Subversion\bin;C:\Program Files\Docker\Docker\resources\bin;C:\ProgramData\DockerDesktop\version-bin;E:\CMake\bin;C:\mingw64\bin;E:\scala-2.12.15\bin;C:\Program Files (x86)\scala\bin;E:\spark\bin;E:\spark-2.1.1-hadoop2.7\bin;E:\NetSarang\Xshell 7\;E:\NetSarang\Xftp 7\;C:\Program Files\Git\cmd;E:\apache-maven-3.6.3\bin;E:\jdk1.8.0_161\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;E:\IntelliJ IDEA\bin;;C:\Users\Administrator\AppData\Roaming\npm;E:\nodejs\node_global\;C:\Users\Administrator\.dotnet\tools;C:\Users\Administrator\AppData\Local\GitHubDesktop\bin;E:\Microsoft VS Code\bin;.]
Discovery:53000 2022-06-20 22:19:35,061 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
Discovery:53000 2022-06-20 22:19:35,063 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 15103 ms
Discovery:53000 2022-06-20 22:19:36,209 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
Discovery:53000 2022-06-20 22:19:36,213 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
Discovery:53000 2022-06-20 22:19:36,328 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@4730e0f0
Discovery:53000 2022-06-20 22:19:47,248 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
Discovery:53000 2022-06-20 22:19:47,740 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
Discovery:53000 2022-06-20 22:19:47,741 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
Discovery:53000 2022-06-20 22:19:48,528 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
Discovery:53000 2022-06-20 22:19:48,529 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
Discovery:53000 2022-06-20 22:19:51,594 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
Discovery:53000 2022-06-20 22:19:51,625 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
Discovery:53000 2022-06-20 22:19:54,200 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
Discovery:53000 2022-06-20 22:20:03,647 INFO [main][InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
Discovery:53000 2022-06-20 22:20:03,835 INFO [main][DiscoveryClient.java:349] - Initializing Eureka in region us-east-1
Discovery:53000 2022-06-20 22:20:03,837 INFO [main][DiscoveryClient.java:352] - Client configured to neither register nor query for data.
Discovery:53000 2022-06-20 22:20:03,895 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1655734803861 with initial instances count: 0
Discovery:53000 2022-06-20 22:20:04,125 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
Discovery:53000 2022-06-20 22:20:04,139 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
