[Repayment-Service][53080] 2022-07-09 18:00:00,863 INFO [hmilyTransaction-tccRollBackService-1][LogUtil.java:87] - rollback execute delayTime:60
[Repayment-Service][53080] 2022-07-09 18:00:17,968 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:20,007 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:21,465 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:22,041 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:24,084 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:46,130 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:48,180 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:50,216 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:51,479 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:00:52,246 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:01:00,867 INFO [hmilyTransaction-tccRollBackService-1][LogUtil.java:87] - rollback execute delayTime:60
[Repayment-Service][53080] 2022-07-09 18:01:13,241 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:01:17,976 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 18:01:20,029 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
